Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment	region	globe
227	Cypridea_wyomingensis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
228	Cypridea_wyomingensis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
229	Cypridea_wyomingensis	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
230	Cypridea_wyomingensis	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
231	Cypridea_wyomingensis	43.2985	-110.7824	43.959	-68.1467	105	110	NAm	NA	Global
232	Cypridea_wyomingensis	38.7304	-109.5365	39.5909	-66.2703	106.8	121.4	NAm	NA	NA
233	Cypridea_wyomingensis	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm	NA	NA
234	Cypridea_wyomingensis	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm	NA	NA
235	Cypridea_wyomingensis	45.1768	-111.6854	46.4132	-66.7847	110	115	NAm	NA	NA
236	Kegelina_anomala	45.0922	-110.7997	46.3268	-66.6206	98	124	NAm	NA	Global
237	Kegelina_anomala	42.4448	-110.7925	42.4066	-70.862	99	105	NAm	NA	Global
238	Kegelina_anomala	44.62	-114.7959	45.2008	-74.0665	99	105	NAm	NA	NA
239	Kegelina_anomala	42.4834	-110.8069	42.4462	-70.8648	99	105	NAm	NA	Global
240	Kegelina_anomala	42.0851	-110.9571	42.0842	-71.1339	99	105	NAm	NA	Global
241	Kegelina_anomala	42.7728	-107.2523	42.8732	-62.9635	105	110	NAm	NA	NA
242	Kegelina_anomala	42.5542	-110.8076	43.2375	-68.3987	105	110	NAm	NA	Global
243	Kegelina_anomala	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm	NA	Global
244	Kegelina_anomala	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
245	Kegelina_anomala	42.4917	-110.9449	43.1991	-68.5525	105	110	NAm	NA	Global
246	Kegelina_anomala	42.6819	-110.9248	43.3813	-68.4756	105	110	NAm	NA	Global
247	Kegelina_anomala	43.1621	-111.2249	43.8979	-68.6255	105	110	NAm	NA	Global
248	Kegelina_anomala	43.1194	-111.2167	43.8547	-68.6308	105	110	NAm	NA	Global
249	Kegelina_anomala	43.1185	-111.1298	43.8396	-68.5453	105	110	NAm	NA	Global
250	Kegelina_anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
251	Kegelina_anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
252	Kegelina_anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
253	Kegelina_anomala	44.62	-114.7959	45.8947	-71.7059	105	110	NAm	NA	NA
254	Kegelina_anomala	43.6088	-111.1461	44.321	-68.4094	105	110	NAm	NA	Global
255	Kegelina_anomala	42.0851	-110.9571	42.8039	-68.6857	105	110	NAm	NA	Global
256	Kegelina_anomala	45.1768	-111.6854	46.4132	-66.7847	110	115	NAm	NA	NA
257	Kegelina_anomala	45.3716	-112.461	46.7539	-67.4674	110	115	NAm	NA	NA
